filename,width,height,class,xmin,ymin,xmax,ymax
048f98b6371bae69ef0b22de85b3d2ef--hibiscus-flowers-exotic-flowers0.jpg,474,632,Hibiscus,1,22,473,631
05cc451e34f7184f79792afa2880e52d.jpg,236,236,Hibiscus,1,8,226,236
05f467a7d7a3f4a3fd13faf9f9b4a266--hibiscus-flowers-tropical-flowers0.jpg,350,350,Hibiscus,11,8,342,333
06601ff9a83cf37c2eec265ec29dd80c--hibiscus-drawing-drawing-flowers.jpg,234,215,Hibiscus,2,6,219,209
07fca0d0dba66a3336666d79608aab2e.jpg,427,640,Hibiscus,4,6,425,607
0801fbd54b04469759943526d8fb7351--pastel-flowers-tropical-flowers0.jpg,402,600,Hibiscus,72,97,371,543
0801fbd54b04469759943526d8fb7351--pastel-flowers-tropical-flowers0.jpg,402,600,Hibiscus,9,75,63,146
09736461c1a7384de387781839f6ea8c--hibiscus-garden-yellow-hibiscus0.jpg,474,632,Hibiscus,9,56,468,516
0b26eff6e4538f89a3d99baf5a67ff7a--hibiscus-flowers-red-flowers.jpg,236,353,Hibiscus,10,57,220,308
0bea92179507833117da2960f68cc429--hawaiian-flowers-hibiscus-flowers0.jpg,426,640,Hibiscus,9,76,421,640
0bee925d7e3b68fd8b75b902c3e152780.jpg,3648,2736,Hibiscus,659,32,3376,2678
0bee925d7e3b68fd8b75b902c3e152780.jpg,3648,2736,Hibiscus,59,17,788,1075
0f1683fb5753239688baf77ee3edbadc--royal-oak-high-maintenance1.jpg,474,714,Hibiscus,100,182,405,477
0f1683fb5753239688baf77ee3edbadc--royal-oak-high-maintenance1.jpg,474,714,Hibiscus,123,1,239,75
0f1683fb5753239688baf77ee3edbadc--royal-oak-high-maintenance1.jpg,474,714,Hibiscus,120,86,211,179
0f1683fb5753239688baf77ee3edbadc--royal-oak-high-maintenance1.jpg,474,714,Hibiscus,3,318,137,507
0f1683fb5753239688baf77ee3edbadc--royal-oak-high-maintenance1.jpg,474,714,Hibiscus,250,448,370,547
100080576_f52e8ee070_n.jpg,320,263,Daisy,1,3,317,262
10043234166_e6dd915111_n.jpg,320,213,Dandelion,84,18,251,190
10090824183_d02c613f10_m.jpg,179,240,Rose,6,117,143,231
10090824183_d02c613f10_m.jpg,179,240,Rose,24,33,162,126
384940ae47b9a51ce911a894281a0716--unique-flowers-amazing-flowers0.jpg,375,500,Hibiscus,87,153,375,493
384940ae47b9a51ce911a894281a0716--unique-flowers-amazing-flowers0.jpg,375,500,Hibiscus,2,5,213,272
384940ae47b9a51ce911a894281a0716--unique-flowers-amazing-flowers0.jpg,375,500,Hibiscus,240,72,343,178
10140303196_b88d3d6cec.jpg,500,313,Daisy,1,4,492,308
101721401-stock-vector-vector-realistic-hibiscus-flower-leaves-red0.jpg,450,329,Hibiscus,110,55,336,272
10172379554_b296050f82_n.jpg,320,215,Daisy,17,174,92,214
10172379554_b296050f82_n.jpg,320,215,Daisy,148,177,216,212
10172379554_b296050f82_n.jpg,320,215,Daisy,230,165,289,215
10172379554_b296050f82_n.jpg,320,215,Daisy,61,99,103,115
10172379554_b296050f82_n.jpg,320,215,Daisy,8,116,54,129
10172379554_b296050f82_n.jpg,320,215,Daisy,2,131,59,160
10172379554_b296050f82_n.jpg,320,215,Daisy,261,145,314,171
10172379554_b296050f82_n.jpg,320,215,Daisy,257,123,311,139
10172567486_2748826a8b.jpg,500,333,Daisy,7,258,115,333
10172567486_2748826a8b.jpg,500,333,Daisy,154,214,284,293
10172567486_2748826a8b.jpg,500,333,Daisy,309,210,456,303
10172567486_2748826a8b.jpg,500,333,Daisy,11,167,111,241
10172567486_2748826a8b.jpg,500,333,Daisy,49,120,167,161
10172567486_2748826a8b.jpg,500,333,Daisy,3,56,73,124
10172567486_2748826a8b.jpg,500,333,Daisy,58,31,166,63
10172567486_2748826a8b.jpg,500,333,Daisy,445,108,500,156
10172567486_2748826a8b.jpg,500,333,Daisy,464,199,494,261
10172636503_21bededa75_n.jpg,320,250,Daisy,40,25,66,43
10172636503_21bededa75_n.jpg,320,250,Daisy,65,48,89,75
10172636503_21bededa75_n.jpg,320,250,Daisy,49,75,76,100
10172636503_21bededa75_n.jpg,320,250,Daisy,48,136,78,152
10172636503_21bededa75_n.jpg,320,250,Daisy,46,180,72,205
101810608-stock-illustration-watercolor-floral-tropical-bouquet-with-hibiscus-and-plumeria-hand-painted-monstera-palm-branch-and-0.jpg,450,426,Hibiscus,91,188,269,356
101810608-stock-illustration-watercolor-floral-tropical-bouquet-with-hibiscus-and-plumeria-hand-painted-monstera-palm-branch-and-0.jpg,450,426,Hibiscus,239,164,390,332
101810608-stock-illustration-watercolor-floral-tropical-bouquet-with-hibiscus-and-plumeria-hand-painted-monstera-palm-branch-and-0.jpg,450,426,Hibiscus,168,86,320,196
10200780773_c6051a7d71_n.jpg,320,218,Dandelion,17,13,170,176
102841525_bd6628ae3c.jpg,500,400,Daisy,11,148,171,204
102841525_bd6628ae3c.jpg,500,400,Daisy,196,219,356,348
102841525_bd6628ae3c.jpg,500,400,Daisy,286,176,486,259
102841525_bd6628ae3c.jpg,500,400,Daisy,81,112,232,144
102841525_bd6628ae3c.jpg,500,400,Daisy,81,66,220,110
102841525_bd6628ae3c.jpg,500,400,Daisy,307,102,443,172
102841525_bd6628ae3c.jpg,500,400,Daisy,245,74,407,119
102841525_bd6628ae3c.jpg,500,400,Daisy,369,317,484,395
102841525_bd6628ae3c.jpg,500,400,Daisy,415,268,494,312
102841525_bd6628ae3c.jpg,500,400,Daisy,1,316,58,400
102841525_bd6628ae3c.jpg,500,400,Daisy,458,99,500,167
10294487385_92a0676c7d_m.jpg,180,240,Dandelion,67,98,109,154
10300722094_28fa978807_n.jpg,240,159,Daisy,70,17,95,23
10300722094_28fa978807_n.jpg,240,159,Daisy,110,19,135,31
10300722094_28fa978807_n.jpg,240,159,Daisy,137,45,168,57
10300722094_28fa978807_n.jpg,240,159,Daisy,95,85,126,111
10300722094_28fa978807_n.jpg,240,159,Daisy,4,92,37,119
10300722094_28fa978807_n.jpg,240,159,Daisy,57,91,89,116
10300722094_28fa978807_n.jpg,240,159,Daisy,3,65,18,86
10300722094_28fa978807_n.jpg,240,159,Daisy,2,29,15,51
10300722094_28fa978807_n.jpg,240,159,Daisy,163,103,184,125
10300722094_28fa978807_n.jpg,240,159,Daisy,27,50,49,65
10300722094_28fa978807_n.jpg,240,159,Daisy,170,52,194,66
10300722094_28fa978807_n.jpg,240,159,Daisy,159,67,197,80
10300722094_28fa978807_n.jpg,240,159,Daisy,199,104,215,121
10300722094_28fa978807_n.jpg,240,159,Daisy,223,114,236,137
1031799732_e7f4008c03.jpg,500,375,Daisy,5,26,499,332
10386525005_fd0b7d6c55_n.jpg,320,277,Sunflower,1,3,320,277
10386525695_2c38fea555_n.jpg,320,240,Sunflower,1,3,320,238
10386540106_1431e73086_m.jpg,201,240,Sunflower,3,1,201,240
10386540696_0a95ee53a8_n.jpg,320,232,Sunflower,2,1,320,230
10386702973_e74a34c806_n.jpg,320,240,Sunflower,2,3,318,236
10391248763_1d16681106_n.jpg,320,224,Daisy,183,38,264,113
10391248763_1d16681106_n.jpg,320,224,Daisy,57,120,107,155
10391248763_1d16681106_n.jpg,320,224,Daisy,60,169,109,204
10391248763_1d16681106_n.jpg,320,224,Daisy,133,179,192,212
10391248763_1d16681106_n.jpg,320,224,Daisy,239,132,287,150
10391248763_1d16681106_n.jpg,320,224,Daisy,283,107,314,138
10391248763_1d16681106_n.jpg,320,224,Daisy,114,105,184,137
10391248763_1d16681106_n.jpg,320,224,Daisy,34,124,57,145
10391248763_1d16681106_n.jpg,320,224,Daisy,191,114,216,144
10391248763_1d16681106_n.jpg,320,224,Daisy,237,113,265,132
104024302-stock-vector-tropic-floral-pattern-background.jpg,450,450,Hibiscus,91,125,291,285
104024302-stock-vector-tropic-floral-pattern-background.jpg,450,450,Hibiscus,242,258,424,422
104024302-stock-vector-tropic-floral-pattern-background.jpg,450,450,Hibiscus,8,330,129,450
104024302-stock-vector-tropic-floral-pattern-background.jpg,450,450,Hibiscus,283,7,442,119
104024302-stock-vector-tropic-floral-pattern-background.jpg,450,450,Hibiscus,141,2,269,113
10437652486_aa86c14985.jpg,500,339,Dandelion,5,1,498,338
10437754174_22ec990b77_m.jpg,171,240,Daisy,73,103,164,215
10437770546_8bb6f7bdd3_m.jpg,240,240,Daisy,23,15,208,236
10437929963_bc13eebe0c.jpg,500,320,Daisy,101,51,373,293
10437929963_bc13eebe0c.jpg,500,320,Daisy,109,6,347,83
10466290366_cc72e33532.jpg,500,333,Daisy,24,67,77,122
10466290366_cc72e33532.jpg,500,333,Daisy,216,74,300,186
10466290366_cc72e33532.jpg,500,333,Daisy,354,52,450,148
10466290366_cc72e33532.jpg,500,333,Daisy,130,176,198,269
10466290366_cc72e33532.jpg,500,333,Daisy,224,235,284,295
10466558316_a7198b87e2.jpg,500,333,Daisy,1,5,79,90
10466558316_a7198b87e2.jpg,500,333,Daisy,137,120,288,297
10466558316_a7198b87e2.jpg,500,333,Daisy,226,8,390,120
10477219-red-hibiscus-flower-detail0.jpg,450,300,Hibiscus,124,28,436,294
10477378514_9ffbcec4cf_m.jpg,180,240,Dandelion,72,123,161,194
10486992895_20b344ce2d_n.jpg,320,213,Dandelion,46,8,278,196
10503217854_e66a804309.jpg,500,333,Rose,1,1,496,333
1053fbb9cc42f918223924946c4c1e23.jpg,236,359,Hibiscus,67,70,234,218
1053fbb9cc42f918223924946c4c1e23.jpg,236,359,Hibiscus,3,5,120,79
10541580714_ff6b171abd_n.jpg,180,240,Sunflower,48,21,178,153
10541580714_ff6b171abd_n.jpg,180,240,Sunflower,1,131,33,163
